inst_id	cell_id	det_plate	det_well	pert_mfc_id	pert_dose	pert_dose_unit	pert_id	pert_iname	pert_type	pert_time	pert_time_unit
LJP006_HEPG2_24H_X1_B19:A03	HEPG2	LJP006_HEPG2_24H_X1_B19	A03	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:A04	HEPG2	LJP006_HEPG2_24H_X1_B19	A04	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:A05	HEPG2	LJP006_HEPG2_24H_X1_B19	A05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:A06	HEPG2	LJP006_HEPG2_24H_X1_B19	A06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:B03	HEPG2	LJP006_HEPG2_24H_X1_B19	B03	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:B04	HEPG2	LJP006_HEPG2_24H_X1_B19	B04	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:B05	HEPG2	LJP006_HEPG2_24H_X1_B19	B05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:B06	HEPG2	LJP006_HEPG2_24H_X1_B19	B06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F07	HEPG2	LJP006_HEPG2_24H_X1_B19	F07	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F08	HEPG2	LJP006_HEPG2_24H_X1_B19	F08	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F09	HEPG2	LJP006_HEPG2_24H_X1_B19	F09	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F10	HEPG2	LJP006_HEPG2_24H_X1_B19	F10	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F11	HEPG2	LJP006_HEPG2_24H_X1_B19	F11	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:F12	HEPG2	LJP006_HEPG2_24H_X1_B19	F12	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J13	HEPG2	LJP006_HEPG2_24H_X1_B19	J13	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J14	HEPG2	LJP006_HEPG2_24H_X1_B19	J14	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J15	HEPG2	LJP006_HEPG2_24H_X1_B19	J15	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J16	HEPG2	LJP006_HEPG2_24H_X1_B19	J16	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J17	HEPG2	LJP006_HEPG2_24H_X1_B19	J17	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:J18	HEPG2	LJP006_HEPG2_24H_X1_B19	J18	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N19	HEPG2	LJP006_HEPG2_24H_X1_B19	N19	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N20	HEPG2	LJP006_HEPG2_24H_X1_B19	N20	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N21	HEPG2	LJP006_HEPG2_24H_X1_B19	N21	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N22	HEPG2	LJP006_HEPG2_24H_X1_B19	N22	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N23	HEPG2	LJP006_HEPG2_24H_X1_B19	N23	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X1_B19:N24	HEPG2	LJP006_HEPG2_24H_X1_B19	N24	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:A03	HEPG2	LJP006_HEPG2_24H_X2_B19	A03	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:A04	HEPG2	LJP006_HEPG2_24H_X2_B19	A04	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:A05	HEPG2	LJP006_HEPG2_24H_X2_B19	A05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:A06	HEPG2	LJP006_HEPG2_24H_X2_B19	A06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:B03	HEPG2	LJP006_HEPG2_24H_X2_B19	B03	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:B04	HEPG2	LJP006_HEPG2_24H_X2_B19	B04	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:B05	HEPG2	LJP006_HEPG2_24H_X2_B19	B05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:B06	HEPG2	LJP006_HEPG2_24H_X2_B19	B06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP006_HEPG2_24H_X2_B19:F07	HEPG2	LJP006_HEPG2_24H_X2_B19	F07	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
